Issue_time,Forecast_time,Coast,East,Far_West,North_Central,North,South_Central,Southern,West
2018-12-10 12:00:00,2018-12-10 23:00:00,11533.4462890625,1851.914306640625,3127.88671875,13738.8701171875,1006.5125122070312,6939.17724609375,3578.7666015625,1437.0472412109375
2018-12-10 18:00:00,2018-12-11 00:00:00,12508.861328125,1995.57275390625,3045.373291015625,14746.78515625,1108.9293212890625,7598.3115234375,3612.77294921875,1438.281005859375
2018-12-10 18:00:00,2018-12-11 01:00:00,12355.5654296875,1986.076171875,3086.935546875,14440.40625,1109.728271484375,7571.86767578125,3733.415771484375,1472.9949951171875
2018-12-10 18:00:00,2018-12-11 02:00:00,12080.646484375,1925.6915283203125,3207.0,14018.34375,1110.7265625,7291.37158203125,3671.18603515625,1434.6378173828125
2018-12-10 18:00:00,2018-12-11 03:00:00,11481.4072265625,1821.9901123046875,2940.208984375,13192.7939453125,985.7303466796875,6852.59619140625,3468.0419921875,1353.8638916015625
2018-12-10 18:00:00,2018-12-11 04:00:00,10691.015625,1763.030517578125,2932.4072265625,12639.9248046875,919.9371948242188,6514.81103515625,3295.3056640625,1313.8182373046875
2018-12-10 18:00:00,2018-12-11 05:00:00,10483.712890625,1736.8104248046875,3119.18603515625,12424.3583984375,921.2542114257812,6400.7880859375,3268.296142578125,1315.2955322265625
2018-12-11 00:00:00,2018-12-11 06:00:00,10819.068359375,1664.8846435546875,3020.341064453125,12447.0849609375,932.9879150390625,6471.31640625,2937.405029296875,1316.6380615234375
2018-12-11 00:00:00,2018-12-11 07:00:00,10995.1552734375,1677.8231201171875,2963.553466796875,12493.888671875,962.176513671875,6525.5,3142.07421875,1303.881591796875
2018-12-11 00:00:00,2018-12-11 08:00:00,11255.984375,1763.119140625,3156.43408203125,12674.7197265625,958.521728515625,6634.81787109375,3282.65478515625,1269.497314453125
2018-12-11 00:00:00,2018-12-11 09:00:00,11842.806640625,1865.3978271484375,3024.564453125,13499.306640625,1017.9127807617188,6969.53662109375,3500.386474609375,1353.4212646484375
2018-12-11 00:00:00,2018-12-11 10:00:00,11806.4453125,1890.7982177734375,3091.151123046875,14288.994140625,1041.0006103515625,7198.54443359375,3724.5966796875,1401.488525390625
2018-12-11 00:00:00,2018-12-11 11:00:00,12390.8857421875,1993.5604248046875,3246.172607421875,15103.18359375,1118.2218017578125,7630.791015625,3882.875732421875,1481.03076171875
2018-12-11 06:00:00,2018-12-11 12:00:00,12671.3466796875,2032.279541015625,3209.606689453125,15632.3291015625,1093.5845947265625,8017.83203125,3851.255859375,1574.5938720703125
2018-12-11 06:00:00,2018-12-11 13:00:00,12463.4267578125,2028.32958984375,3159.861572265625,15062.6162109375,1136.425048828125,7965.8076171875,3966.719482421875,1557.7611083984375
2018-12-11 06:00:00,2018-12-11 14:00:00,12245.03125,1923.7408447265625,3359.28564453125,14125.7744140625,1095.71728515625,7354.19677734375,3859.59228515625,1425.3170166015625
2018-12-11 06:00:00,2018-12-11 15:00:00,11831.8916015625,1789.9527587890625,3028.743896484375,13607.0908203125,1049.254150390625,6894.41650390625,3655.46533203125,1364.2916259765625
2018-12-11 06:00:00,2018-12-11 16:00:00,11085.927734375,1671.40478515625,3025.436279296875,12944.263671875,1024.8448486328125,6407.20703125,3419.126953125,1292.58544921875
2018-12-11 06:00:00,2018-12-11 17:00:00,10880.453125,1599.1375732421875,3039.248046875,12389.2783203125,926.22607421875,6411.70166015625,3276.95068359375,1287.8372802734375
2018-12-11 12:00:00,2018-12-11 18:00:00,10902.6474609375,1521.41552734375,2960.06982421875,12130.7919921875,873.89208984375,6207.67919921875,3009.75390625,1252.3912353515625
2018-12-11 12:00:00,2018-12-11 19:00:00,10926.5126953125,1506.1875,2867.116943359375,11889.8701171875,867.9778442382812,6092.1201171875,3107.518798828125,1196.267333984375
2018-12-11 12:00:00,2018-12-11 20:00:00,10929.7646484375,1515.4283447265625,3094.826171875,11794.9599609375,835.69873046875,6128.53955078125,3140.061767578125,1192.5538330078125
2018-12-11 12:00:00,2018-12-11 21:00:00,11184.11328125,1548.0750732421875,2897.235107421875,12183.458984375,831.90625,6323.29443359375,3206.678955078125,1200.4627685546875
2018-12-11 12:00:00,2018-12-11 22:00:00,11343.6201171875,1688.166015625,2983.340087890625,12817.546875,875.9776000976562,6737.72607421875,3323.197265625,1302.1104736328125
2018-12-11 12:00:00,2018-12-11 23:00:00,11584.9658203125,1749.1348876953125,3079.401611328125,13268.984375,932.7694091796875,6994.17138671875,3477.89453125,1384.761474609375
